『'25 東洋療法必携』
 2. 一度発症したら二度と罹患しない。
 3. 食材の-20℃、48時間冷凍で予防できる。
 4. 細菌感染症である。

01-19 本疾患について正しいのはどれか。
 1. 胃内視鏡治療を行う。
 2. アナフィラキシーは発症しない。
 3. 胃潰瘍を認める。
 4. 抗菌薬投与が有効である。

02. 神経・筋疾患　49問
02-01 脳塞栓について正しいのはどれか。
 1. 緩徐に発症する。
 2. 激しい頭痛を伴う。
 3. 心房細動に合併する。
 4. 高血圧はリスクファクターである。

　次の文について下記２問に答えよ。
「75歳の男性。病院を受診し、脳梗塞による軽い片麻痺と診断された。」

02-02 麻痺側にみられる所見はどれか。
 1. バレー徴候
 2. ロンベルグ徴候
 3. ラセーグ徴候
 4. ケンプ徴候

02-03 麻痺側で亢進する反射はどれか。
 1. 角膜反射
 2. 挙睾筋反射
 3. 腹壁反射
 4. アキレス腱反射

02-04 発症直後の脳梗塞発見に最も適した検査はどれか。
 1. MRI
 2. シンチグラフィ
 3. 単純エックス線撮影
 4. CT

　次の文について下記２問に答えよ。
「60歳の男性。高血圧で内服中であった。突然の意識障害にて救急搬送された。昏睡状態で、眼球は正中固定し、著しい縮瞳がみられた。四肢は伸展・内旋し、手首は回内・屈曲状態であった。」

02-05 この患者の状態はどれか。
 1. マン・ウェルニッケ肢位
 2. 除脳硬直
 3. 除皮質硬直
 4. 後弓反張

02-06 考えられる病変部位はどれか。
 1. 被殻
 2. 視床
 3. 橋
 4. 内包

02-07 高血圧性脳出血が最も好発する部位はどれか。
 1. 被殻
 2. 視床
 3. 橋
 4. 前頭葉

　次の文について下記２問に答えよ。
「60歳の男性。高血圧にて内服加療中。2日前から38℃の発熱、昨日から嘔吐と頭部全体の痛みがある。意識レベルはJCSでⅠ-1、血圧は178/90mmHgである。」

02-08 最も考えられる疾患はどれか。
 1. 高血圧性脳症
 2. 髄膜炎
 3. 群発頭痛
 4. 小脳出血

02-09 本症例で確認すべき所見はどれか。
 1. ケルニッヒ徴候
 2. ホルネル徴候
 3. バレー徴候
 4. ロンベルグ徴候

　次の文について下記２問に答えよ。
「40歳の女性。３か月前から歩行時のふらつき、めまいが出現した。また、２か月前から左の難聴、耳鳴りと左顔面の感覚が鈍いことを自覚している。四肢の筋力低下はない。」

02-10 この患者でみられないのはどれか。
 1. 指鼻試験は拙劣である。
 2. つぎ足歩行は不能である。
 3. 角膜反射は消失する。
 4. 深部腱反射は亢進する。

02-11 最も考えられる疾患はどれか。
 1. メニエール病
 2. 突発性難聴
 3. 聴神経腫瘍
 4. 脊髄空洞症

02-12 脳腫瘍の５年生存率で最も予後が悪いのはどれか。
 1. 神経膠芽腫
 2. 髄膜腫
 3. 下垂体腺腫
 4. 神経鞘腫

02-13 パーキンソン病の病因に関与するのはどれか。
 1. コルチゾール
 2. セロトニン
 3. インスリン
 4. ドパミン

02-14 パーキンソン病の症状はどれか。
 1. 体幹失調
 2. 前屈姿勢
 3. 動揺性歩行
 4. アテトーゼ 

02-15 パーキンソン病でよくみられるのはどれか。
 1. 下痢
 2. 発汗低下
 3. 唾液減少
 4. 起立性低血圧

02-16 小脳失調の特徴でないのはどれか。
 1. 測定障害
 2. 企図振戦
 3. 洗面現象
 4. 筋緊張低下

02-17 軽度認知障害（MCI）について最も適切なのはどれか。
 1. 日常生活能力が低下している。
 2. 全般的な認知機能が低下している。
 3. 記憶低下の訴えがある。
 4. 1年以内に認知症を発症する。

02-18 アルツハイマー病で正しいのはどれか。
 1. ラクナ梗塞の多発により発症する。
 2. アミロイドβ蛋白質が蓄積する。
 3. 初期には記銘力障害はみられない。
 4. MRI検査では前頭葉の萎縮が特徴的である。

02-19 アルツハイマー病の初期にみられるのはどれか。
 1. 幻視
 2. 記憶障害
 3. てんかん発作
 4. 反社会的行動

　次の文について下記２問に答えよ。
「80歳の男性。１年前から夜間に人や子どもが見え、本当に人がいるように話しかけることもある。半年前から次第に動作が鈍くなってきた。最近は物忘れも出現している。」

02-20 本症例で動作が鈍くなってきた原因として正しいのはどれか。
 1. 下肢筋力の低下
 2. 歩行失行
 3. パーキンソニズム
 4. 深部感覚障害

02-21 本症例でさらに確認すべき症状はどれか。
 1. 物盗られ妄想
 2. 認知機能の日内変動
 3. 症状の階段状の悪化
 4. 欲動的な行動

02-22 病初期から人格障害がよくみられるのはどれか。
 1. 脳血管性認知症
 2. 前頭側頭型認知症
 3. アルツハイマー病
 4. レビー小体型認知症

02-23 まだら認知症がよくみられるのはどれか。
 1. 前頭側頭型認知症
 2. 脳血管性認知症
 3. アルツハイマー型認知症
 4. レビー小体型認知症

02-24 重症筋無力症について正しいのはどれか。
 1. 呼吸筋は障害されない。
 2. 症状は運動を反復すると悪化する。
 3. 四肢では遠位筋優位に筋力が低下する。
 4. 筋力低下は午前中に強く午後には軽快する。

02-25 デュシェンヌ型筋ジストロフィーについて正しいのはどれか。
 1. 女性に多い。
 2. 腓腹筋の仮性肥大がみられる。
 3. 血清CK値は正常である。
 4. 関節拘縮のため踵足になる。

02-26 筋萎縮性側索硬化症でよくみられるのはどれか。
 1. 膀胱直腸障害
 2. 眼球運動障害
 3. 嚥下障害
 4. 褥瘡

02-27 多発ニューロパチーについて正しいのはどれか。
 1. 運動障害が優位である。
 2. デルマトームに沿った感覚障害を認める。
 3. 深部腱反射が亢進する。
 4. アルコール多飲が原因となる。

02-28 ギラン・バレー症候群について正しいのはどれか。
 1. 中年女性に多い。
 2. 遺伝性疾患である。
 3. 骨格筋に病因がある。
 4. 先行感染を認めることが多い。

　次の文について下記2問に答えよ。
「17歳の男子。バイク走行中に転倒し救急搬送。ヘルメットの右外側に傷があり、右肩に外傷がある。右上肢は自動運動不能で知覚異常を認めた。意識は清明、独歩可能、脳神経に異常はない。」

02-29 診断に有用性が最も低いのはどれか。
 1. CT検査
 2. MRI検査
 3. 筋電図検査
 4. 超音波検査

02-30 身体所見では肘の屈曲・手関節の背屈が不能で、手指の屈曲もできない。上肢の骨折や関節の脱臼はない。損傷部位はどれか。
 1. 側頸部
 2. 腋窩部
 3. 上腕部
 4. 肘部

　次の文について下記2問に答えよ。
「30歳の男性。右手小指のしびれを主訴に受診。手関節の可動域制限はないが、右肘関節の屈曲可動域は120度であった。幼少期に右肘関節骨折の治療歴がある。」

02-31 身体所見上認められるのはどれか。
 1. 肘関節屈筋力低下
 2. 外反肘
 3. 下垂手
 4. 猿手

02-32 障害神経はどれか。
 1. 筋皮神経
 2. 橈骨神経
 3. 正中神経
 4. 尺骨神経

02-33 総腓骨神経麻痺について正しい記述はどれか。
 1. 足底の感覚障害を生じる。
 2. 足関節部の圧迫によって発症する。
 3. 足関節の背屈運動が障害される。
 4. 足趾の底屈運動が障害される。

02-34 動眼神経麻痺で認められる所見はどれか。
 1. 縮瞳
 2. 外斜視
 3. 共同偏視
 4. 眼球陥凹

02-35 ベル麻痺に伴うのはどれか。
 1. 複視
 2. 味覚障害
 3. 鼻閉
 4. 舌痛

02-36 末梢性顔面神経麻痺に有効な神経ブロックはどれか。
 1. 顔面神経ブロック
 2. 上顎神経ブロック
 3. 浅頚神経ブロック
 4. 星状神経節ブロック

02-37 ラムゼイ ハント症候群の治療薬はどれか。
 1. 免疫抑制薬
 2. 抗菌薬
 3. 抗ウイルス薬
 4. 非ステロイド性抗炎症薬

02-38 反回神経麻痺でみられるのはどれか。
 1. 頻脈
 2. 顔面浮腫
 3. 嗄声
 4. ホルネル症候群

02-39 末梢神経麻痺における罹患神経と麻痺筋の組合せで正しいのはどれか。
 1. 橈骨神経 … 円回内筋
 2. 正中神経 … 母指内転筋
 3. 尺骨神経 … 掌側骨間筋
 4. 肩甲上神経 … 僧帽筋

02-40 症候群と神経との組合せで正しいのはどれか。
 1. 肘部管症候群 … 橈骨神経
 2. 手根管症候群 … 正中神経
 3. 梨状筋症候群 … 大腿神経
 4. 足根管症候群 … 総腓骨神経

　次の文について下記２問に答えよ。
「40歳の女性。最近右顔面に発作性の激痛がある。痛みは右眼瞼から右頬部および上歯に放散する。」

02-41 この症状から考えられる罹患神経はどれか。
 1. 大後頭神経
 2. 動眼神経
 3. 三叉神経
 4. 顔面神経

02-42 この患者に行われる治療として適切でないのはどれか。
 1. 鎮静剤投与
 2. 電気療法
 3. 神経ブロック
 4. 抜歯

02-43 特発性三叉神経痛について正しいのはどれか。
 1. 若年者に多い。
 2. 前駆症状を伴う。
 3. 罹患枝は第２枝が多い。
 4. 痛みは持続的である。

　次の文について下記２問に答えよ。
「36歳の女性。以前から頭痛もちであった。最近、月に2回くらい拍動性の頭痛が数時間以上続き、家事や子どもの面倒をみることができない。」

02-44 痛みが出現した際の指導で正しいのはどれか。
 1. 適度な運動を勧める。
 2. うつむき姿勢を正す。
 3. 入浴を勧める。
 4. 患部を冷やす。

02-45 診断のために患者に聞いておくべき項目で最も重要なのはどれか。
 1. 家族歴
 2. 海外渡航歴
 3. 既往歴
 4. 職業歴

02-46 片頭痛の症状で正しいのはどれか。
 1. 拍動性頭痛
 2. 激しい眼窩部痛
 3. 締め付けられるような鈍痛
 4. ハンマーで殴られたような痛み

　次の文について下記２問に答えよ。
「40歳の女性。仕事でパソコン作業が多く、午後から締め付けられるような両側性の頭痛を発症する。頭痛は非拍動性で悪心・嘔吐はない。飲酒で増悪しない。」

02-47 考えられる疾患はどれか。
 1. 片頭痛
 2. 群発頭痛
 3. 緊張型頭痛
 4. 三叉神経・自律神経性頭痛

02-48 生活指導で最も適切なのはどれか。
 1. 入浴はシャワーのみで済ませる。
 2. 枕の高さは今よりも高くする。
 3. 後頸部をホットタオルで温める。
 4. パソコン作業では同一姿勢を維持する。

02-49 群発頭痛について正しいのはどれか。
 1. 女性に多い
 2. ドライアイを伴う
 3. 両側性である
 4. 片頭痛発作時の治療に準じる

03. 呼吸器・胸壁疾患　24問
03-01 マイコプラズマ肺炎で正しい記述はどれか。
 1. 老年者に頻度が高い。
 2. 潜伏期は２～３日である。
 3. 消化器症状はみられない。
 4. 乾性咳が多い。

03-02 抗酸菌感染症について正しいのはどれか。
 1. 肺結核の主な感染経路は飛沫感染である。
 2. 我が国の2023年の結核新規発症患者数は1,000人以下である。
 3. 非結核性抗酸菌は人から人に感染する。
 4. 非結核性抗酸菌症は難治性である。

03-03 非結核性抗酸菌症について正しいのはどれか。
 1. 男性に多い。
 2. 人から人へ感染する。
 3. 難治性である。
 4. 肺切除の対象とはならない。

03-04 呼吸器感染症について正しいのはどれか。
 1. 結核菌は空気感染を起こさない。
 2. 我が国では菌の耐性化は問題となっていない。
 3. 感冒の約60%はウイルス感染である。
 4. 高齢者では肺炎球菌ワクチン接種が推奨されている。

03-05 COPDについて最も適切なのはどれか。
 1. 受動喫煙は関与しない。
 2. 肺癌の合併に注意する。
 3. 安静時の呼吸困難が特徴である。
 4. 禁煙で呼吸機能は改善する。

03-06 肺気腫について正しい記述はどれか。
 1. 肺胞の胞隔に線維化をきたす。
 2. ＣＯ2ナルコーシスをきたす。
 3. 呼気は短縮する。
 4. 肺機能検査で残気量が減少する。

03-07 気管支喘息について正しいのはどれか。
 1. Ⅱ型アレルギーである。
 2. 拘束性換気障害をきたす。
 3. 発作は夜間や明け方に多い。
 4. 気管支拡張薬が治療の中心である。

　次の文について下記2問に答えよ。
「80歳の男性。毎日40本の喫煙を60年続けている。咳、痰、労作時の息切れを訴えている。胸部エックス線検査では胸水や腫瘤陰影は認めない。」

03-08 次に行うべき検査はどれか。
 1. MRI検査
 2. 呼吸機能検査
 3. 換気血流シンチグラフィ検査
 4. 呼吸器内視鏡検査

03-09 感冒に罹患後、熱はないが呼吸困難が悪化した。また、経皮酸素飽和度の低下を認めた。最も有効な対応はどれか。
 1. 経過観察する。
 2. 消炎鎮痛薬を投与する。
 3. 副腎皮質ステロイド薬を投与する。
 4. 気管挿管を行う。

03-10 特発性間質性肺炎について正しいのはどれか。
 1. 予後は比較的良好である。
 2. 労作時の呼吸困難が特徴である。
 3. 閉塞性換気障害をきたす。
 4. 抗菌薬の長期投与を行う。

03-11 特発性肺線維症について正しいのはどれか。
 1. 炎症の主体は肺胞である。
 2. 主症状は湿性咳嗽である。
 3. 閉塞性換気障害をきたす。
 4. 間質性肺炎に分類される。

03-12 喫煙肺癌患者に最も多い組織型はどれか。
 1. 腺癌
 2. 大細胞癌
 3. 小細胞癌
 4. 扁平上皮癌

03-13 肺癌患者にみられる所見と浸潤部位の組合せで正しいのはどれか。
 1. 縮瞳 … 上大静脈
 2. 顔面浮腫 … 交感神経
 3. 嗄声 … 反回神経
 4. 腰痛 … 横隔神経

03-14 肺癌の治療で使用するのはどれか。
 1. 抗菌薬
 2. 分子標的薬
 3. 気管支拡張薬
 4. 抗アレルギー薬

03-15 肺癌について正しいのはどれか。
 1. 死亡数は女性が多い。
 2. 骨転移はまれである。
 3. 小細胞癌が最も多い。
 4. 受動喫煙は危険因子である。

03-16 縦隔腫瘍でみられるのはどれか。
 1. 眼振
 2. ベル現象
 3. 眼球突出
 4. ホルネル症候群

03-17 胸膜中皮腫と関連するのはどれか。
 1. 塩蔵食品
 2. アスベスト
 3. アセトアルデヒド
 4. ジクロロプロパン

　次の文について下記2問に答えよ。
　「18歳の男性。背が高く痩せている。突然、右胸の痛みと息切れを感じた。」

03-18 最初に行う検査はどれか。
 1. 血液生化学検査
 2. 呼吸機能検査
 3. 胸部単純エックス線検査
 4. 胸部単純CT検査
03- 血圧が下がり息切れが増した。最も適切な対応はどれか。 
 1. 経過観察
 2. 鎮痛剤の投与
 3. 生理食塩水点滴
 4. 胸腔ドレナージ

　　　　　　　　　　20 気管支拡張症の原因として関連が少ないのはどれか。
 1. 免疫不全
 2. 小児期の肺炎
 3. 喫煙の習慣
 4. 慢性副鼻腔炎

03-21 気管支拡張症について正しいのはどれか。
 1. 気道の変化は不可逆性である。
 2. 小児喘息の既往をもつことが多い。
 3. 喀血をきたすことはない。
 4. 治療は抗菌薬を短期投与する。

03-22 過換気症候群で誤っている記述はどれか。
 1. 心因性要素が関与する。
 2. 発作持続は短時間である。
 3. 若い女性に好発する。
 4. 動脈血炭酸ガス分圧が低下する。

03-23 閉塞性睡眠時無呼吸症候群について正しいのはどれか。
 1. 低血圧の原因となる。
 2. 痩せている人に多い。
 3. 治療は在宅酸素療法である。
 4. 交通事故の原因となる。

03-24 呼吸器疾患について正しいのはどれか。
 1. 自然気胸は胸痛を伴う。
 2. 肺線維症は閉塞性換気障害をきたす。
 3. 気管支喘息による死亡者数は増加している。
 4. COPDは安静時の呼吸困難が特徴的である。

04. 循環器疾患　30問
04-01 心房中隔欠損症で誤っている記述はどれか。
 1. 欠損は卵円孔型が多い。
 2. 肺動脈領域に収縮期雑音を聴取する。
 3. 右房の拡大がみられる。
 4. 肺血流量が体血流量より少ない。

04-02 ファロー四徴症で認められないのはどれか。
 1. 肺動脈狭窄
 2. 大動脈騎乗
 3. 右室肥大
 4. 大血管転位

04-03 先天性心疾患でチアノーゼをきたしやすいのはどれか。
 1. ファロー四徴症
 2. 心房中隔欠損症
 3. 心室中隔欠損症
 4. 大動脈縮窄症

04-04 僧帽弁狭窄症について正しいのはどれか。
 1. 男性に多い。
 2. 先天性が多い。
 3. 心拍出量が増加する。
 4. 心房細動の合併が多い。

　次の文について下記２問に答えよ。
「78歳の男性。胸痛、呼吸困難の精査のため受診。心電図検査で左室肥大所見を認めた。心エコー検査では著明な大動脈弁口の狭窄と左室-大動脈間の圧較差がみられた。」

04-05 本疾患の所見で適切なのはどれか。
 1. Ⅰ音亢進
 2. 収縮期雑音
 3. ランブル音
 4. 速脈

04-06 本疾患の原因で適切なのはどれか。
 1. リウマチ熱
 2. 大動脈解離
 3. 心房中隔欠損症
 4. 肺動脈血栓塞栓症

04-07 肺水腫でみられにくい所見はどれか。
 1. 起坐呼吸
 2. 口すぼめ呼吸
 3. 肺野の水泡音
 4. ピンク色の泡沫状痰

04-08 心臓弁膜症と聴診所見との組合せで正しいのはどれか。
 1. 僧帽弁閉鎖不全症 … 頚動脈雑音
 2. 大動脈弁閉鎖不全症 … 拡張期雑音
 3. 僧帽弁狭窄症 … 収縮期雑音
 4. 大動脈弁狭窄症 … ランブル

04-09 失神を最もきたしやすいのはどれか。
 1. 僧帽弁狭窄症
 2. 僧帽弁閉鎖不全症
 3. 大動脈弁狭窄症
 4. 大動脈弁閉鎖不全症

04-10 不整脈で予後が最も良いのはどれか。
 1. 心室細動
 2. 心房細動
 3. 上室性期外収縮
 4. Ⅲ度房室ブロック

04-11 閉塞性肥大型心筋症でみられるのはどれか。
 1. 大動脈圧上昇
 2. 突然死
 3. 胸部大動脈瘤
 4. 肺動脈弁狭窄症

04-12 感染性心内膜炎について正しいのはどれか。
 1. 歯周病は発症リスクになる。
 2. 診断には運動負荷試験が有用である。
 3. 病初期に発熱がみられることはまれである。
 4. 脳梗塞を併発するリスクは小さい。

04-13 左心不全の身体所見はどれか。
 1. 腹水
 2. 下肢の浮腫
 3. 肝腫大
 4. 起坐呼吸

04-14 右心不全によくみられる身体所見はどれか。
 1. 肺うっ血
 2. 頻呼吸
 3. 下肢の浮腫
 4. 四肢チアノーゼ

04-15 右心室肥大をきたす疾患はどれか。
 1. 大動脈弁狭窄症
 2. 大動脈瘤
 3. 原発性肺高血圧症
 4. 本態性高血圧症

　次の文について下記２問に答えよ。
「71歳の女性。１週間前から労作時の胸痛を自覚していたが、安静で症状は軽減したため放置していた。しかし、昨日より安静時でも胸痛が起こるようになり、救急受診した。」

04-16 本疾患の危険因子として最も重要なのはどれか。
 1. 低血糖
 2. 低血圧
 3. 低HDL血症
 4. 低アルブミン血症

04-17 本疾患の合併症としてよくみられるのはどれか。
 1. 僧帽弁狭窄症
 2. 心室性期外収縮
 3. 心房中隔欠損症
 4. 気胸

04-18 狭心症について正しいのはどれか。
 1. 安静時には発症しない。
 2. 心筋梗塞には移行しない。
 3. 喫煙は危険因子である。
 4. ニトログリセリンは無効である。

04-19 心筋梗塞について正しいのはどれか。
 1. 無痛性心筋梗塞は糖尿病患者に多い。
 2. 心筋梗塞に伴う胸痛は通常５分以内である。
 3. 心電図で最初に出現する所見は異常Q波である。
 4. 発症時白血球数は減少する。

04-20 急性心筋梗塞で上昇する血液検査項目として最も適切なのはどれか。
 1. γ-GTP
 2. ALP
 3. ALT
 4. AST

04-21 労作性狭心症と急性心筋梗塞で、最も違いが明確なのはどれか。
 1. 胸痛の持続時間
 2. 呼吸困難の程度
 3. 放散痛の部位
 4. 症状出現の時刻

04-22 動脈硬化と関連が少ないのはどれか。
 1. 肝硬変
 2. 腎硬化症
 3. 脳梗塞
 4. 心筋梗塞

　次の文について下記２問に答えよ。
「78歳の男性。５年前に高血圧を指摘されたが、自覚症状がないため放置していた。早朝、安静時に突然強い胸背部痛が出現し、救急搬送された。その際に胸部エックス線検査で上縦隔の著明な拡大を認めたが、心電図上有意な変化はみられなかった。」

04-23 本疾患の診断のため、直ちに施行すべき検査はどれか。
 1. 24時間ホルター心電図
 2. 運動負荷心筋シンチ
 3. 胸腹部造影ＣＴ
 4. 気管支内視鏡

04-24 本疾患による合併症はどれか。
 1. 気胸
 2. 間質性肺炎
 3. 大動脈弁狭窄症
 4. 心タンポナーデ

04-25 動脈疾患について誤っている組合せはどれか。
 1. 閉塞性動脈硬化症 … 虚血性潰瘍
 2. 解離性大動脈瘤 … 背部痛
 3. 大動脈炎症候群 … 橈骨動脈拍動減弱
 4. レイノー病 … 間欠跛行

04-26 下肢静脈瘤に認められないのはどれか。
 1. 静脈弁の不全
 2. 静脈の蛇行
 3. 間欠跛行
 4. 潰瘍形成

　次の文について、下記2問に答えヨ。
「68歳の女性。国際線の機内で左下腿が次第に腫脹してきた。熱感や冷感はない。左ふくらはぎに把握痛がある。」

04-27 最も考えられるのはどれか。
 1. 心不全
 2. 急性腎不全
 3. コンパートメント症候群
 4. 深部静脈血栓症

04-28 その後、胸痛と呼吸困難が出現してきた。最も考えられるのはどれか。
 1. 肺塞栓症
 2. 脳梗塞
 3. 心筋梗塞
 4. 閉塞性動脈硬化症

04-29 高血圧症について正しいのはどれか。
 1. 多くは頭痛を主訴とする。
 2. 原因の90％以上は遺伝的要因である。
 3. 食事療法ではカリウム摂取を制限する。
 4. 罹患率は年齢とともに増加する。

04-30 高血圧と耐糖能異常のいずれも認めないのはどれか。
 1. 褐色細胞腫
 2. アジソン病
 3. クッシング症候群
 4. 原発性アルドステロン症

05. 消化器疾患　38問
05-01 歯周病の増悪因子でないのはどれか。
 1. 喫煙
 2. 舌炎
 3. 妊娠
 4. 糖尿病

05-02 胃食道逆流症について正しいのはどれか。
 1. るいそう患者に好発する。
 2. 近年減少傾向である。
 3. 一過性下部食道括約筋弛緩が関与する。
 4. 生命予後は不良である。

05-03 胃食道逆流症について正しいのはどれか。
 1. 食道下部輪走筋は緊張する。
 2. 食道内圧は上昇する。
 3. 食道下部扁平上皮は円柱上皮化する。
 4. 体重増加によって症状は改善する。

05-04 食道癌の危険因子として正しいのはどれか。
 1. アルコール摂取
 2. 胃酸分泌抑制薬
 3. HPV感染
 4. ヘリコバクター・ピロリ感染

　次の文について下記２問に答えよ。
「70歳の男性。嚥下障害と体重減少で来院し、食道癌と診断された。さらに右眼瞼下垂と縮瞳が認められた。」

05-05 本疾患について適切なのはどれか。
 1. 腺癌が多い。
 2. 中部食道に多い。
 3. 化学療法は用いられない。
 4. 予後は良い。

05-06 本症例にみられる合併症はどれか。
 1. 上大静脈症候群
 2. 反回神経麻痺
 3. 顔面神経麻痺
 4. ホルネル症候群

05-07 食道疾患と症状との組合せで誤っているのはどれか。
 1. 食道炎 … 嚥下痛
 2. 食道癌 … 体重減少
 3. 食道けいれん … 嚥下困難
 4. 食道静脈瘤 … 呼吸困難

　次の文について下記２問に答えよ。
「45歳の男性。最近、心窩部から背中の皮膚にかけて痛みが起きる。胸やけ、食欲不振もある。上部消化管内視鏡検査では、胃角部に潰瘍を認め、ヘリコバクター・ピロリの感染を疑った。」

05-08 本症例の背中の皮膚の痛みで最も適切なのはどれか。
 1. 空腹時に起こる。
 2. 関連痛である。
 3. 体性痛である。
 4. 内臓痛である。

05-09 ヘリコバクター・ピロリの検査はどれか。
 1. 尿素呼気検査
 2. 胃液測定
 3. 尿沈渣検査
 4. 血清ペプシノーゲン測定

05-10 胃潰瘍について正しいのはどれか。
 1. ヘリコバクター・ピロリが関与する。
 2. 下腹部痛が多い。
 3. 内視鏡所見ではボルマンの分類を用いる。
 4. 治療は非ステロイド性抗炎症薬を使用する。

05-11 胃癌について正しい記述はどれか。
 1. 非上皮性の悪性腫瘍である。
 2. シュニッツラー転移は血行性転移である。
 3. 進行胃癌の分類にはデュークス分類が用いられる。
 4. 早期胃癌の５年生存率は90～95％である。

05-12 胃癌の病期分類に必要な情報はどれか。
 1. 遠隔転移の有無
 2. 体重減少の有無
 3. 免疫力低下の有無
 4. 腫瘍マーカー上昇の有無

05-13 胃切除術後のダンピング症候群の所見で誤っているのはどれか。
 1. 冷汗
 2. 腹痛
 3. 高血糖
 4. 下痢

05-14 過敏性腸症候群について正しいのはどれか。
 1. 血便を認める。
 2. 血清CRPが上昇する。
 3. 生命予後は不良である。
 4. 排便により腹痛が軽快する。

05-15 クローン病の合併症はどれか。
 1. 陰部潰瘍
 2. 痔瘻
 3. 手掌紅斑
 4. 口腔内色素沈着

05-16 炎症性腸疾患について正しいのはどれか。
 1. クローン病は大腸に限局する。
 2. 潰瘍性大腸炎は非連続性病変を示す。
 3. 食生活の欧米化により患者数が増加した。
 4. 赤沈は病勢を反映しない。

05-17 イレウスで腸管壊死をきたしやすいのはどれか。
 1. 閉塞性イレウス
 2. 絞扼性イレウス
 3. 麻痺性イレウス
 4. 単純性イレウス

05-18 大腸癌の危険因子でないのはどれか。
 1. 食物繊維摂取
 2. 大腸腺腫
 3. 潰瘍性大腸炎
 4. 胆囊切除

05-19 大腸癌について正しいのはどれか。
 1. 近年減少傾向である。
 2. 大部分が腺癌である。
 3. 血清ＣＥＡは早期癌の診断に役立つ。
 4. ヘリコバクター・ピロリ感染が関与している。

05-20 大腸がん検診で最初に行うのはどれか。
 1. 腹部エックス線検査
 2. 下部消化管内視鏡検査
